tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,control_change,,,,,0,0,1,,,0,7,100,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,
0,end_of_track,,,,,0,1,11,,,,,,,
0,end_of_track,,,,,0,1,12,,,,,,,
0,end_of_track,,,,,0,1,13,,,,,,,
0,end_of_track,,,,,0,1,14,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,
0,control_change,,,,,0,0,2,,,1,10,69,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,set_tempo,,,,,0,1,0,461538,,,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,
0,program_change,,,,,0,0,2,,0,1,,,,
0,control_change,,,,,0,0,2,,,1,7,100,,
0,track_name,,,,,0,1,14,,,,,,,
0,control_change,,,,,0,0,1,,,0,10,59,,
960,note_on,,,,,0,0,1,,,0,,,55,102
960,note_on,,,,,0,0,1,,,0,,,67,103
960,marker,,,,,960,1,0,,,,,,,
960,control_change,,,,,960,0,2,,,1,11,127,,
960,control_change,,,,,960,0,1,,,0,11,127,,
1030,note_off,,,,,70,0,1,,,0,,,67,64
1032,note_off,,,,,2,0,1,,,0,,,55,64
1040,note_on,,,,,0,0,1,,,0,,,55,98
1040,note_on,,,,,8,0,1,,,0,,,67,97
1110,note_off,,,,,70,0,1,,,0,,,67,64
1114,note_off,,,,,4,0,1,,,0,,,55,64
1120,note_on,,,,,0,0,1,,,0,,,55,104
1120,note_on,,,,,6,0,1,,,0,,,67,101
1192,note_off,,,,,72,0,1,,,0,,,55,64
1192,note_off,,,,,0,0,1,,,0,,,67,64
1200,note_on,,,,,0,0,1,,,0,,,55,99
1200,note_on,,,,,8,0,1,,,0,,,67,104
1271,note_off,,,,,71,0,1,,,0,,,67,64
1274,note_off,,,,,3,0,1,,,0,,,55,64
1280,note_on,,,,,0,0,1,,,0,,,55,101
1280,note_on,,,,,6,0,1,,,0,,,67,96
1353,note_off,,,,,73,0,1,,,0,,,55,64
1354,note_off,,,,,1,0,1,,,0,,,67,64
1360,note_on,,,,,6,0,1,,,0,,,67,103
1360,note_on,,,,,0,0,1,,,0,,,55,102
1430,note_off,,,,,70,0,1,,,0,,,67,64
1434,note_off,,,,,4,0,1,,,0,,,55,64
1440,note_on,,,,,0,0,1,,,0,,,55,104
1440,note_on,,,,,6,0,1,,,0,,,67,98
1512,note_off,,,,,72,0,1,,,0,,,55,64
1513,note_off,,,,,1,0,1,,,0,,,67,64
1520,note_on,,,,,0,0,1,,,0,,,55,101
1520,note_on,,,,,7,0,1,,,0,,,67,104
1590,note_off,,,,,70,0,1,,,0,,,55,64
1591,note_off,,,,,1,0,1,,,0,,,67,64
1600,note_on,,,,,0,0,1,,,0,,,55,101
1600,note_on,,,,,9,0,1,,,0,,,67,97
1670,note_off,,,,,70,0,1,,,0,,,67,64
1671,note_off,,,,,1,0,1,,,0,,,55,64
1680,note_on,,,,,9,0,1,,,0,,,67,104
1680,note_on,,,,,0,0,1,,,0,,,55,98
1750,note_off,,,,,0,0,1,,,0,,,67,64
1750,note_off,,,,,70,0,1,,,0,,,55,64
1760,note_on,,,,,10,0,1,,,0,,,67,96
1760,note_on,,,,,0,0,1,,,0,,,55,104
1832,note_off,,,,,72,0,1,,,0,,,55,64
1834,note_off,,,,,2,0,1,,,0,,,67,64
1840,note_on,,,,,0,0,1,,,0,,,55,103
1840,note_on,,,,,6,0,1,,,0,,,67,101
1910,note_off,,,,,0,0,1,,,0,,,67,64
1910,note_off,,,,,70,0,1,,,0,,,55,64
1920,note_on,,,,,10,0,1,,,0,,,67,108
1920,note_on,,,,,960,0,2,,,1,,,43,108
1920,note_on,,,,,0,0,1,,,0,,,55,108
1920,note_on,,,,,0,0,2,,,1,,,31,104
1990,note_off,,,,,70,0,1,,,0,,,67,64
1991,note_off,,,,,1,0,1,,,0,,,55,64
1994,note_off,,,,,0,0,2,,,1,,,43,64
1994,note_off,,,,,74,0,2,,,1,,,31,64
2000,note_on,,,,,0,0,1,,,0,,,55,104
2000,note_on,,,,,9,0,1,,,0,,,67,102
2000,note_on,,,,,0,0,2,,,1,,,33,102
2000,note_on,,,,,6,0,2,,,1,,,45,102
2071,note_off,,,,,71,0,2,,,1,,,33,64
2072,note_off,,,,,72,0,1,,,0,,,55,64
2072,note_off,,,,,0,0,1,,,0,,,67,64
2074,note_off,,,,,3,0,2,,,1,,,45,64
2080,note_on,,,,,0,0,1,,,0,,,55,100
2080,note_on,,,,,8,0,1,,,0,,,67,100
2080,note_on,,,,,6,0,2,,,1,,,46,97
2080,note_on,,,,,0,0,2,,,1,,,34,102
2150,note_off,,,,,70,0,2,,,1,,,34,64
2150,note_off,,,,,0,0,2,,,1,,,46,64
2153,note_off,,,,,73,0,1,,,0,,,55,64
2153,note_off,,,,,0,0,1,,,0,,,67,64
2160,note_on,,,,,10,0,2,,,1,,,48,101
2160,note_on,,,,,0,0,2,,,1,,,36,102
2160,note_on,,,,,0,0,1,,,0,,,55,101
2160,note_on,,,,,7,0,1,,,0,,,67,97
2230,note_off,,,,,70,0,2,,,1,,,36,64
2230,note_off,,,,,70,0,1,,,0,,,67,64
2233,note_off,,,,,3,0,1,,,0,,,55,64
2234,note_off,,,,,4,0,2,,,1,,,48,64
2240,note_on,,,,,7,0,1,,,0,,,67,101
2240,note_on,,,,,6,0,2,,,1,,,50,100
2240,note_on,,,,,0,0,2,,,1,,,38,97
2240,note_on,,,,,0,0,1,,,0,,,55,96
2311,note_off,,,,,71,0,2,,,1,,,38,64
2311,note_off,,,,,71,0,1,,,0,,,55,64
2312,note_off,,,,,1,0,1,,,0,,,67,64
2314,note_off,,,,,3,0,2,,,1,,,50,64
2320,note_on,,,,,6,0,2,,,1,,,51,101
