tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,key_signature,,,,,0,1,1,,,,,,,C,,
0,key_signature,,,,,0,1,2,,,,,,,C,,
0,key_signature,,,,,0,1,3,,,,,,,C,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,
0,key_signature,,,,,0,1,6,,,,,,,C,,
0,key_signature,,,,,0,1,7,,,,,,,C,,
0,key_signature,,,,,0,1,8,,,,,,,C,,
0,key_signature,,,,,0,1,9,,,,,,,C,,
0,key_signature,,,,,0,1,10,,,,,,,C,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,program_change,,,,,0,0,1,,,,,0,0,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,set_tempo,,,,,0,1,0,,545454,,,,,,,
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
60,control_change,,,,,60,0,1,,,64,24,0,,,,
84,control_change,,,,,24,0,1,,,64,40,0,,,,
144,control_change,,,,,60,0,1,,,64,24,0,,,,
176,control_change,,,,,32,0,1,,,64,72,0,,,,
184,control_change,,,,,8,0,1,,,64,88,0,,,,
192,control_change,,,,,8,0,1,,,64,104,0,,,,
200,control_change,,,,,8,0,1,,,64,127,0,,,,
296,note_on,,,,,96,0,1,,,,,0,,,70,78
392,note_off,,,,,96,0,1,,,,,0,,,70,0
440,control_change,,,,,48,0,1,,,64,88,0,,,,
444,note_on,,,,,4,0,1,,,,,0,,,68,82
448,control_change,,,,,4,0,1,,,64,0,0,,,,
452,note_on,,,,,4,0,1,,,,,0,,,59,66
480,control_change,,,,,28,0,1,,,64,40,0,,,,
484,control_change,,,,,4,0,1,,,64,127,0,,,,
516,note_off,,,,,32,0,1,,,,,0,,,59,0
524,note_on,,,,,8,0,1,,,,,0,,,62,46
560,note_off,,,,,36,0,1,,,,,0,,,62,0
580,note_on,,,,,20,0,1,,,,,0,,,59,43
624,note_off,,,,,44,0,1,,,,,0,,,59,0
628,note_on,,,,,4,0,1,,,,,0,,,62,45
676,note_off,,,,,48,0,1,,,,,0,,,62,0
688,note_on,,,,,12,0,1,,,,,0,,,59,53
740,note_off,,,,,52,0,1,,,,,0,,,59,0
748,note_on,,,,,8,0,1,,,,,0,,,62,48
796,note_off,,,,,48,0,1,,,,,0,,,62,0
808,note_on,,,,,12,0,1,,,,,0,,,59,44
856,note_off,,,,,48,0,1,,,,,0,,,59,0
860,note_on,,,,,4,0,1,,,,,0,,,62,43
912,note_off,,,,,52,0,1,,,,,0,,,62,0
916,note_on,,,,,4,0,1,,,,,0,,,59,48
972,note_off,,,,,56,0,1,,,,,0,,,59,0
980,note_on,,,,,8,0,1,,,,,0,,,62,47
1032,note_off,,,,,52,0,1,,,,,0,,,62,0
1040,note_on,,,,,8,0,1,,,,,0,,,59,44
1096,note_off,,,,,56,0,1,,,,,0,,,59,0
1112,note_on,,,,,16,0,1,,,,,0,,,62,51
1160,note_off,,,,,48,0,1,,,,,0,,,62,0
1172,note_on,,,,,12,0,1,,,,,0,,,59,43
1216,note_off,,,,,44,0,1,,,,,0,,,59,0
1228,note_on,,,,,12,0,1,,,,,0,,,62,48
1276,note_off,,,,,48,0,1,,,,,0,,,62,0
1284,note_on,,,,,8,0,1,,,,,0,,,66,81
1296,note_on,,,,,12,0,1,,,,,0,,,59,45
1304,note_off,,,,,8,0,1,,,,,0,,,68,0
1340,note_off,,,,,36,0,1,,,,,0,,,59,0
1356,note_on,,,,,16,0,1,,,,,0,,,62,42
1384,note_off,,,,,28,0,1,,,,,0,,,62,0
1436,note_off,,,,,52,0,1,,,,,0,,,66,0
1436,note_on,,,,,0,0,1,,,,,0,,,65,87
1440,control_change,,,,,4,0,1,,,64,104,0,,,,
1448,control_change,,,,,8,0,1,,,64,0,0,,,,
1452,note_on,,,,,4,0,1,,,,,0,,,59,41
1452,note_on,,,,,0,0,1,,,,,0,,,56,40
1496,note_off,,,,,44,0,1,,,,,0,,,59,0
1504,note_on,,,,,0,0,1,,,,,0,,,62,45
1504,note_off,,,,,8,0,1,,,,,0,,,56,0
1508,control_change,,,,,4,0,1,,,64,104,0,,,,
1516,control_change,,,,,8,0,1,,,64,127,0,,,,
1552,note_off,,,,,36,0,1,,,,,0,,,62,0
1568,note_on,,,,,16,0,1,,,,,0,,,59,41
1572,note_on,,,,,4,0,1,,,,,0,,,56,30
1612,note_off,,,,,40,0,1,,,,,0,,,59,0
1620,note_off,,,,,8,0,1,,,,,0,,,56,0
1624,note_on,,,,,4,0,1,,,,,0,,,62,50
1672,note_off,,,,,48,0,1,,,,,0,,,62,0
1680,note_on,,,,,8,0,1,,,,,0,,,56,34
1696,note_on,,,,,16,0,1,,,,,0,,,59,32
1720,note_off,,,,,24,0,1,,,,,0,,,59,0
1736,note_off,,,,,16,0,1,,,,,0,,,56,0
1740,note_on,,,,,4,0,1,,,,,0,,,62,44
1796,note_on,,,,,0,0,1,,,,,0,,,56,34
1796,note_off,,,,,56,0,1,,,,,0,,,62,0
1804,note_on,,,,,8,0,1,,,,,0,,,59,39
1844,note_off,,,,,40,0,1,,,,,0,,,59,0
1848,note_off,,,,,4,0,1,,,,,0,,,56,0
1856,note_on,,,,,8,0,1,,,,,0,,,62,56
1900,note_off,,,,,44,0,1,,,,,0,,,62,0
1908,note_on,,,,,0,0,1,,,,,0,,,56,42
1908,note_on,,,,,8,0,1,,,,,0,,,59,45
1948,note_off,,,,,40,0,1,,,,,0,,,59,0
1960,note_on,,,,,0,0,1,,,,,0,,,62,56
1960,note_off,,,,,12,0,1,,,,,0,,,56,0
2012,note_on,,,,,0,0,1,,,,,0,,,56,43
2012,note_off,,,,,52,0,1,,,,,0,,,62,0
2020,note_on,,,,,8,0,1,,,,,0,,,59,41
2056,note_off,,,,,36,0,1,,,,,0,,,59,0
2068,note_off,,,,,12,0,1,,,,,0,,,56,0
2072,note_on,,,,,4,0,1,,,,,0,,,62,57
2116,note_off,,,,,44,0,1,,,,,0,,,62,0
2128,note_on,,,,,12,0,1,,,,,0,,,56,43
2132,note_on,,,,,4,0,1,,,,,0,,,59,47
2172,note_off,,,,,40,0,1,,,,,0,,,59,0
2184,note_off,,,,,12,0,1,,,,,0,,,56,0
2188,note_on,,,,,4,0,1,,,,,0,,,62,60
2240,note_off,,,,,52,0,1,,,,,0,,,62,0
2248,note_on,,,,,8,0,1,,,,,0,,,66,80
2260,note_off,,,,,12,0,1,,,,,0,,,65,0
2260,note_on,,,,,0,0,1,,,,,0,,,59,32
2268,note_on,,,,,8,0,1,,,,,0,,,56,37
2308,note_off,,,,,40,0,1,,,,,0,,,59,0
2320,note_off,,,,,12,0,1,,,,,0,,,56,0
2320,note_on,,,,,0,0,1,,,,,0,,,62,53
2336,note_off,,,,,16,0,1,,,,,0,,,62,0
2452,note_on,,,,,116,0,1,,,,,0,,,62,81
2464,note_off,,,,,12,0,1,,,,,0,,,66,0
2468,note_on,,,,,4,0,1,,,,,0,,,54,48
