tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,key,program,channel,control,value,note,velocity
0,control_change,,,,,0,0,1,,,,0,7,127,,
0,instrument_name,,,,,0,1,3,,,,,,,,
0,instrument_name,,,,,0,1,4,,,,,,,,
0,key_signature,,,,,0,1,1,,F#,,,,,,
0,key_signature,,,,,0,1,2,,F#,,,,,,
0,key_signature,,,,,0,1,3,,F#,,,,,,
0,key_signature,,,,,0,1,4,,F#,,,,,,
0,note_on,,,,,0,0,1,,,,0,,,61,107
0,instrument_name,,,,,0,1,2,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,program_change,,,,,0,0,2,,,0,1,,,,
0,program_change,,,,,0,0,3,,,0,2,,,,
0,program_change,,,,,0,0,4,,,0,3,,,,
0,set_tempo,,,,,0,1,0,1000000,,,,,,,
0,time_signature,2,4,24,8,0,1,0,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,program_change,,,,,0,0,1,,,0,0,,,,
0,instrument_name,,,,,0,1,1,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,4,,,,3,100,1,,
0,control_change,,,,,0,0,4,,,,3,101,0,,
0,control_change,,,,,0,0,4,,,,3,101,0,,
0,control_change,,,,,0,0,4,,,,3,101,0,,
0,control_change,,,,,0,0,4,,,,3,100,0,,
0,control_change,,,,,0,0,4,,,,3,6,76,,
0,control_change,,,,,0,0,4,,,,3,6,64,,
0,control_change,,,,,0,0,2,,,,1,100,0,,
0,control_change,,,,,0,0,4,,,,3,100,2,,
0,control_change,,,,,0,0,2,,,,1,100,1,,
0,control_change,,,,,0,0,2,,,,1,101,0,,
0,control_change,,,,,0,0,2,,,,1,101,0,,
0,control_change,,,,,0,0,2,,,,1,101,0,,
0,control_change,,,,,0,0,2,,,,1,6,64,,
0,control_change,,,,,0,0,2,,,,1,6,52,,
