tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,time_signature,3,8,96,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 0)",,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,program_change,,,,,0,0,2,,,,,1,0,,,
0,program_change,,,,,0,0,1,,,,,0,0,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,
0,key_signature,,,,,0,1,2,,,,,,,A,,
0,key_signature,,,,,0,1,1,,,,,,,A,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,control_change,,,,,0,0,2,,,10,33,1,,,,
0,control_change,,,,,0,0,2,,,91,66,1,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,control_change,,,,,0,0,1,,,91,69,0,,,,
0,control_change,,,,,0,0,1,,,10,91,0,,,,
0,end_of_track,,,,,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
480,note_on,,,,,480,0,2,,,,,1,,,39,121
576,note_on,,,,,96,0,2,,,,,1,,,40,121
608,note_off,,,,,32,0,2,,,,,1,,,39,77
704,note_off,,,,,96,0,2,,,,,1,,,40,77
768,note_on,,,,,64,0,2,,,,,1,,,40,121
896,note_off,,,,,128,0,2,,,,,1,,,40,77
960,note_on,,,,,64,0,2,,,,,1,,,40,121
1088,note_off,,,,,128,0,2,,,,,1,,,40,77
1152,note_on,,,,,64,0,2,,,,,1,,,40,121
1280,note_off,,,,,128,0,2,,,,,1,,,40,77
1344,note_on,,,,,64,0,2,,,,,1,,,40,121
1472,note_off,,,,,128,0,2,,,,,1,,,40,77
1536,note_on,,,,,64,0,2,,,,,1,,,40,121
1632,note_on,,,,,96,0,2,,,,,1,,,39,121
1664,note_off,,,,,32,0,2,,,,,1,,,40,77
1728,note_on,,,,,64,0,2,,,,,1,,,40,121
1760,note_off,,,,,32,0,2,,,,,1,,,39,77
1856,note_off,,,,,96,0,2,,,,,1,,,40,77
1920,note_on,,,,,64,0,2,,,,,1,,,40,121
2048,note_off,,,,,128,0,2,,,,,1,,,40,77
2112,note_on,,,,,64,0,2,,,,,1,,,40,121
2208,note_on,,,,,96,0,2,,,,,1,,,39,121
2240,note_off,,,,,32,0,2,,,,,1,,,40,77
2304,note_on,,,,,64,0,2,,,,,1,,,40,121
2336,note_off,,,,,32,0,2,,,,,1,,,39,77
2432,note_off,,,,,96,0,2,,,,,1,,,40,77
2496,note_on,,,,,64,0,2,,,,,1,,,40,121
2624,note_off,,,,,128,0,2,,,,,1,,,40,77
2688,note_on,,,,,64,0,2,,,,,1,,,40,121
2784,note_on,,,,,96,0,2,,,,,1,,,46,121
2816,note_off,,,,,32,0,2,,,,,1,,,40,77
2880,note_on,,,,,0,0,2,,,,,1,,,47,121
2880,note_on,,,,,64,0,2,,,,,1,,,40,121
2912,note_off,,,,,32,0,2,,,,,1,,,46,77
3008,note_off,,,,,0,0,2,,,,,1,,,47,77
3008,note_off,,,,,96,0,2,,,,,1,,,40,77
3072,note_on,,,,,0,0,2,,,,,1,,,47,121
3072,note_on,,,,,64,0,2,,,,,1,,,40,121
3200,note_off,,,,,0,0,2,,,,,1,,,47,77
3200,note_off,,,,,128,0,2,,,,,1,,,40,77
3264,note_on,,,,,64,0,2,,,,,1,,,40,121
3264,note_on,,,,,0,0,2,,,,,1,,,47,121
3392,note_off,,,,,128,0,2,,,,,1,,,40,77
3392,note_off,,,,,0,0,2,,,,,1,,,47,77
3456,note_on,,,,,0,0,2,,,,,1,,,40,121
3456,note_on,,,,,64,0,2,,,,,1,,,47,121
3584,note_off,,,,,128,0,2,,,,,1,,,47,77
3584,note_off,,,,,0,0,2,,,,,1,,,40,77
3648,note_on,,,,,64,0,2,,,,,1,,,47,121
3648,note_on,,,,,0,0,2,,,,,1,,,40,121
3776,note_off,,,,,0,0,2,,,,,1,,,40,77
3776,note_off,,,,,128,0,2,,,,,1,,,47,77
3840,note_on,,,,,0,0,2,,,,,1,,,40,121
3840,note_on,,,,,64,0,2,,,,,1,,,47,121
3936,note_on,,,,,96,0,2,,,,,1,,,46,121
3968,note_off,,,,,32,0,2,,,,,1,,,47,77
3968,note_off,,,,,0,0,2,,,,,1,,,40,77
4032,note_on,,,,,0,0,2,,,,,1,,,40,121
4032,note_on,,,,,64,0,2,,,,,1,,,47,121
4064,note_off,,,,,32,0,2,,,,,1,,,46,77
4160,note_off,,,,,96,0,2,,,,,1,,,47,77
4160,note_off,,,,,0,0,2,,,,,1,,,40,77
4224,note_on,,,,,64,0,2,,,,,1,,,47,121
4224,note_on,,,,,0,0,2,,,,,1,,,40,121
4352,note_off,,,,,0,0,2,,,,,1,,,40,77
4352,note_off,,,,,128,0,2,,,,,1,,,47,77
4416,note_on,,,,,64,0,2,,,,,1,,,47,121
4416,note_on,,,,,0,0,2,,,,,1,,,40,121
4512,note_on,,,,,96,0,2,,,,,1,,,46,121
4544,note_off,,,,,32,0,2,,,,,1,,,47,77
4544,note_off,,,,,0,0,2,,,,,1,,,40,77
4608,note_on,,,,,64,0,2,,,,,1,,,47,121
4608,note_on,,,,,0,0,2,,,,,1,,,40,121
4640,note_off,,,,,32,0,2,,,,,1,,,46,77
4736,note_off,,,,,0,0,2,,,,,1,,,40,77
4736,note_off,,,,,96,0,2,,,,,1,,,47,77
4800,note_on,,,,,0,0,2,,,,,1,,,40,121
4800,note_on,,,,,64,0,2,,,,,1,,,47,121
4928,note_off,,,,,128,0,2,,,,,1,,,47,77
4928,note_off,,,,,0,0,2,,,,,1,,,40,77
4992,note_on,,,,,0,0,2,,,,,1,,,40,121
4992,note_on,,,,,64,0,2,,,,,1,,,47,121
5088,note_on,,,,,96,0,2,,,,,1,,,53,121
5120,note_off,,,,,32,0,2,,,,,1,,,47,77
5120,note_off,,,,,0,0,2,,,,,1,,,40,77
5184,note_on,,,,,0,0,2,,,,,1,,,47,121
5184,note_on,,,,,0,0,2,,,,,1,,,54,121
5184,note_on,,,,,64,0,2,,,,,1,,,40,121
5216,note_off,,,,,32,0,2,,,,,1,,,53,77
5312,note_off,,,,,0,0,2,,,,,1,,,54,77
5312,note_off,,,,,0,0,2,,,,,1,,,47,77
5312,note_off,,,,,96,0,2,,,,,1,,,40,77
5376,note_on,,,,,0,0,2,,,,,1,,,47,121
5376,note_on,,,,,64,0,2,,,,,1,,,40,121
5376,note_on,,,,,0,0,2,,,,,1,,,54,121
5504,note_off,,,,,128,0,2,,,,,1,,,40,77
5504,note_off,,,,,0,0,2,,,,,1,,,47,77
5504,note_off,,,,,0,0,2,,,,,1,,,54,77
5568,note_on,,,,,64,0,2,,,,,1,,,40,121
5568,note_on,,,,,0,0,2,,,,,1,,,47,121
5568,note_on,,,,,0,0,2,,,,,1,,,54,121
5696,note_off,,,,,128,0,2,,,,,1,,,40,77
5696,note_off,,,,,0,0,2,,,,,1,,,47,77
5696,note_off,,,,,0,0,2,,,,,1,,,54,77
5760,note_on,,,,,64,0,2,,,,,1,,,54,121
5760,note_on,,,,,0,0,2,,,,,1,,,47,121
5760,note_on,,,,,0,0,2,,,,,1,,,40,121
5888,note_off,,,,,0,0,2,,,,,1,,,47,77
5888,note_off,,,,,128,0,2,,,,,1,,,54,77
5888,note_off,,,,,0,0,2,,,,,1,,,40,77
5952,note_on,,,,,0,0,2,,,,,1,,,47,121
5952,note_on,,,,,0,0,2,,,,,1,,,40,121
5952,note_on,,,,,64,0,2,,,,,1,,,54,121
6080,note_off,,,,,0,0,2,,,,,1,,,47,77
6080,note_off,,,,,128,0,2,,,,,1,,,54,77
6080,note_off,,,,,0,0,2,,,,,1,,,40,77
6144,note_on,,,,,64,0,2,,,,,1,,,54,121
6144,note_on,,,,,0,0,2,,,,,1,,,40,121
6144,note_on,,,,,0,0,2,,,,,1,,,47,121
6240,note_on,,,,,96,0,2,,,,,1,,,53,121
6272,note_off,,,,,32,0,2,,,,,1,,,54,77
6272,note_off,,,,,0,0,2,,,,,1,,,40,77
6272,note_off,,,,,0,0,2,,,,,1,,,47,77
6336,note_on,,,,,64,0,2,,,,,1,,,40,121
6336,note_on,,,,,0,0,2,,,,,1,,,54,121
6336,note_on,,,,,0,0,2,,,,,1,,,61,121
6336,note_on,,,,,0,0,2,,,,,1,,,47,121
6368,note_off,,,,,32,0,2,,,,,1,,,53,77
6464,note_off,,,,,0,0,2,,,,,1,,,47,77
6464,note_off,,,,,96,0,2,,,,,1,,,40,77
6464,note_off,,,,,0,0,2,,,,,1,,,54,77
6464,note_off,,,,,0,0,2,,,,,1,,,61,77
6528,note_on,,,,,0,0,2,,,,,1,,,61,121
6528,note_on,,,,,0,0,2,,,,,1,,,54,121
6528,note_on,,,,,0,0,2,,,,,1,,,47,121
6528,note_on,,,,,64,0,2,,,,,1,,,40,121
6656,note_off,,,,,128,0,2,,,,,1,,,40,77
6656,note_off,,,,,0,0,2,,,,,1,,,47,77
6656,note_off,,,,,0,0,2,,,,,1,,,54,77
6656,note_off,,,,,0,0,2,,,,,1,,,61,77
6720,note_on,,,,,64,0,2,,,,,1,,,40,121
6720,note_on,,,,,0,0,2,,,,,1,,,54,121
6720,note_on,,,,,0,0,2,,,,,1,,,61,121
6720,note_on,,,,,0,0,2,,,,,1,,,47,121
6848,note_off,,,,,128,0,2,,,,,1,,,40,77
6848,note_off,,,,,0,0,2,,,,,1,,,54,77
6848,note_off,,,,,0,0,2,,,,,1,,,47,77
6848,note_off,,,,,0,0,2,,,,,1,,,61,77
6912,note_on,,,,,0,0,2,,,,,1,,,40,121
6912,note_on,,,,,0,0,2,,,,,1,,,47,121
6912,note_on,,,,,64,0,2,,,,,1,,,61,121
6912,note_on,,,,,0,0,2,,,,,1,,,54,121
7040,note_off,,,,,0,0,2,,,,,1,,,40,77
7040,note_off,,,,,0,0,2,,,,,1,,,47,77
7040,note_off,,,,,0,0,2,,,,,1,,,54,77
