tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,375000,,,,,,,
0,program_change,0,0,4,,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,0,10,62,,
0,control_change,0,0,4,,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,,0,10,62,,
0,control_change,0,0,4,,,,,,,,,0,10,62,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,62,,
5,control_change,5,0,4,,,,,,,,,0,64,127,,
180,note_on,180,0,3,,,,,,,,,0,,,60,80
180,note_on,0,0,3,,,,,,,,,0,,,48,80
240,note_on,235,0,4,,,,,,,,,0,,,24,80
240,note_on,0,0,4,,,,,,,,,0,,,36,80
336,note_on,0,0,4,,,,,,,,,0,,,24,0
336,note_on,0,0,3,,,,,,,,,0,,,60,0
336,note_on,96,0,4,,,,,,,,,0,,,36,0
336,note_on,156,0,3,,,,,,,,,0,,,48,0
660,note_on,660,0,1,,,,,,,,,0,,,60,80
680,note_on,20,0,1,,,,,,,,,0,,,67,80
700,note_on,20,0,1,,,,,,,,,0,,,70,80
720,note_on,20,0,1,,,,,,,,,0,,,76,80
720,note_on,0,0,1,,,,,,,,,0,,,84,80
816,note_on,0,0,1,,,,,,,,,0,,,76,0
816,note_on,0,0,1,,,,,,,,,0,,,60,0
816,note_on,96,0,1,,,,,,,,,0,,,84,0
816,note_on,0,0,1,,,,,,,,,0,,,70,0
816,note_on,0,0,1,,,,,,,,,0,,,67,0
840,note_on,24,0,1,,,,,,,,,0,,,96,80
936,note_on,96,0,1,,,,,,,,,0,,,96,0
957,set_tempo,957,1,0,,,,,,313808,,,,,,,
960,note_on,24,0,1,,,,,,,,,0,,,94,80
960,time_signature,3,1,0,5,4,24,8,,,,,,,,,
1008,note_on,48,0,1,,,,,,,,,0,,,94,0
1020,note_on,12,0,1,,,,,,,,,0,,,91,80
1068,note_on,48,0,1,,,,,,,,,0,,,91,0
1080,note_on,12,0,1,,,,,,,,,0,,,88,80
1128,note_on,48,0,1,,,,,,,,,0,,,88,0
1140,note_on,12,0,1,,,,,,,,,0,,,84,80
1188,note_on,48,0,1,,,,,,,,,0,,,84,0
