tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,3,,,,,,,,,2,64,127,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Db,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,2,,,37,62
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
1,copyright,1,1,5,,,,,,,,,,,,,
1,end_of_track,0,1,5,,,,,,,,,,,,,
68,note_on,0,0,3,,,,,,,,,2,,,44,62
68,note_on,68,0,3,,,,,,,,,2,,,37,0
137,note_on,69,0,3,,,,,,,,,2,,,44,0
137,note_on,0,0,3,,,,,,,,,2,,,49,62
205,note_on,0,0,3,,,,,,,,,2,,,53,62
205,note_on,68,0,3,,,,,,,,,2,,,49,0
274,note_on,69,0,3,,,,,,,,,2,,,53,0
274,note_on,0,0,3,,,,,,,,,2,,,56,62
342,note_on,68,0,3,,,,,,,,,2,,,56,0
342,note_on,0,0,3,,,,,,,,,2,,,61,62
411,note_on,69,0,3,,,,,,,,,2,,,61,0
411,note_on,0,0,3,,,,,,,,,2,,,65,62
480,note_on,69,0,3,,,,,,,,,2,,,65,0
480,note_on,0,0,3,,,,,,,,,2,,,68,62
548,note_on,68,0,3,,,,,,,,,2,,,68,0
548,note_on,0,0,3,,,,,,,,,2,,,65,62
617,note_on,69,0,3,,,,,,,,,2,,,65,0
617,note_on,0,0,3,,,,,,,,,2,,,61,62
685,note_on,68,0,3,,,,,,,,,2,,,61,0
685,note_on,0,0,3,,,,,,,,,2,,,56,62
754,note_on,0,0,3,,,,,,,,,2,,,53,62
754,note_on,69,0,3,,,,,,,,,2,,,56,0
822,note_on,0,0,3,,,,,,,,,2,,,49,62
