tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
1,copyright,1,1,4,,,,,,,,,,,,,
1,end_of_track,0,1,4,,,,,,,,,,,,,
159,note_on,0,0,1,,,,,,,,,0,,,46,62
159,control_change,159,0,1,,,,,,,,,0,64,127,,
320,note_on,0,0,1,,,,,,,,,0,,,48,62
320,note_on,161,0,1,,,,,,,,,0,,,46,0
480,note_on,160,0,1,,,,,,,,,0,,,48,0
480,note_on,0,0,1,,,,,,,,,0,,,49,62
639,note_on,0,0,1,,,,,,,,,0,,,52,75
639,note_on,159,0,1,,,,,,,,,0,,,49,0
800,note_on,0,0,1,,,,,,,,,0,,,53,75
800,note_on,161,0,1,,,,,,,,,0,,,52,0
960,note_on,160,0,1,,,,,,,,,0,,,53,0
960,note_on,0,0,1,,,,,,,,,0,,,56,75
1440,control_change,480,0,1,,,,,,,,,0,64,0,,
1599,control_change,0,0,1,,,,,,,,,0,64,127,,
1599,note_on,0,0,1,,,,,,,,,0,,,54,62
1599,note_on,159,0,1,,,,,,,,,0,,,56,0
1760,note_on,161,0,1,,,,,,,,,0,,,54,0
1760,note_on,0,0,1,,,,,,,,,0,,,55,62
1920,note_on,0,0,1,,,,,,,,,0,,,56,62
1920,note_on,160,0,1,,,,,,,,,0,,,55,0
2079,note_on,159,0,1,,,,,,,,,0,,,56,0
2079,note_on,0,0,1,,,,,,,,,0,,,57,75
2240,note_on,0,0,1,,,,,,,,,0,,,58,75
2240,note_on,161,0,1,,,,,,,,,0,,,57,0
2400,note_on,160,0,1,,,,,,,,,0,,,58,0
2400,note_on,0,0,1,,,,,,,,,0,,,61,75
2880,control_change,480,0,1,,,,,,,,,0,64,0,,
3039,note_on,159,0,1,,,,,,,,,0,,,61,0
3039,control_change,0,0,1,,,,,,,,,0,64,127,,
