file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,chord_density,duration_per_note,tempo_complexity,notes_per_second,hand_independence,odd_time_signature_count,consecutive_note_std,pitch_range,average_polyphony,tempo_change_count,max_polyphony,note_to_note_transition,note_to_chord_transition,chord_to_note_transition,chord_to_chord_transition
Alb├⌐niz - Aragon Fantasia Op.47 part 6.csv,675211.1593655589,88.8610905903527,6368,73728,0.08637152777777778,174577.85086959714,67,202224,3740,0.5873115577889447,0.00033131576865258326,0.2585529703532059,31.489833056412692,0.46284584980237153,1,23.29729488225538,73.0,2.51699604743083,74,8,2696.0,2814.523809523807,3152.3666666666622,1793.7428571428584
Alb├⌐niz - Castilla Seguidillas Op.47 part 7.csv,509642.2173627815,117.72965024459475,4426,79102,0.055953073247199815,34101.24628207598,66,216308,2634,0.5951197469498418,0.0003051204763577861,0.06691212996155987,20.46156406605396,0.25621746674378254,1,32.06476596986034,81.0,2.559861191440139,31,10,633.0,2151.7023809523826,2276.333333333333,1930.7119047619042
Alb├⌐niz - Cataluna Curranda No.2 from Suite Espanola.csv,449621.54089177685,133.44556375345437,4392,107955,0.04068361817423927,55058.57434733059,54,321748,2256,0.5136612021857924,0.00016783321108445118,0.1224553748873502,13.650434501535363,0.28088304368248,0,61.970680919107416,60.0,2.0629403475810237,54,8,577.0,1807.2333333333331,1845.6499999999999,636.8833333333336
Alb├⌐niz - Catalu├▒a Curranda No.2 from Suite Espanola.csv,495063.5935523363,121.19655087030152,4572,130995,0.034902095499828235,26314.883697317342,47,390148,2108,0.46106736657917763,0.00012046710479100238,0.05315455234446649,11.718629853286444,0.3311312964492155,0,56.531323720221174,65.0,1.8876961189099917,139,6,1136.0,1752.6666666666667,1366.1500000000003,1127.9833333333333
Alb├⌐niz - Espana Op. 165.csv,525619.0934256056,114.15110438428586,1268,84960,0.014924670433145009,73263.46599137194,43,252000,714,0.5630914826498423,0.00017063492063492064,0.1393850925655946,5.031746031746032,0.6259541984732825,1,139.419921254353,64.0,3.2264631043257,556,8,930.0,849.8333333333333,274.8333333333333,459.0
Alb├⌐niz - Espa├▒a Op. 165 No.1.csv,525619.0934256056,114.15110438428586,1268,84960,0.014924670433145009,73263.46599137194,43,252000,714,0.5630914826498423,0.00017063492063492064,0.1393850925655946,5.031746031746032,0.6259541984732825,1,139.419921254353,64.0,3.2264631043257,556,8,930.0,849.8333333333333,274.8333333333333,459.0
Alb├⌐niz - Espa├▒a Op. 165 No.2.csv,1000681.7507919747,59.95912282053099,1360,60480,0.022486772486772486,95391.15142638405,45,179520,803,0.5904411764705882,0.000250668449197861,0.09532616273944053,7.575757575757575,0.4447513812154696,0,91.40777540387698,53.0,3.7569060773480665,292,13,675.0,785.342857142857,850.4666666666667,433.12380952380926
Alb├⌐niz - Espa├▒a Op. 165 No.3.csv,655604.2069672131,91.51863176344843,2368,127200,0.01861635220125786,323098.1741949673,45,381600,1109,0.4683277027027027,0.0001179245283018868,0.4928250471265288,6.20545073375262,0.4233983286908078,4,96.01495165333533,66.0,2.1987000928505105,782,10,1541.0,919.9166666666665,1014.6666666666666,728.2499999999999
Alb├⌐niz - Espa├▒a Op. 165 No.4.csv,541125.3746594005,110.88003410996144,2796,168480,0.016595441595441594,28699.4333145661,52,505440,1584,0.5665236051502146,0.00010288065843621399,0.05303656908092755,5.531813865147199,0.43482905982905984,1,104.66735378479369,58.0,2.9871794871794872,457,14,893.0,1246.0761904761903,1230.7333333333336,660.8666666666668
Alb├⌐niz - Espa├▒a Op. 165 No.5.csv,508413.4285111767,118.01419206353829,1858,113280,0.01640183615819209,17716.383408430982,46,339840,1063,0.5721205597416577,0.0001353578154425612,0.03484641123723095,5.467278719397364,0.5046728971962616,0,126.60039501889577,72.0,4.341121495327103,271,11,312.0,991.0166666666669,801.9166666666667,476.6000000000001
Alb├⌐niz - Espa├▒a Op. 165 No.6.csv,536399.1782281112,111.85699463261325,2978,136800,0.021769005847953216,15651.129030164253,47,409440,2028,0.6809939556749496,0.00011479093395857757,0.02917813759869034,7.273348964439234,0.685126582278481,1,105.369986331964,60.0,4.712025316455696,381,10,336.0,488.0666666666668,538.9833333333335,745.0166666666668
Alb├⌐niz - Mallorca Barcarola.csv,877791.5100906697,68.35336103194074,3388,41040,0.08255360623781677,222115.79436056,41,68040,2225,0.6567296340023613,0.0006025867136978248,0.2530393513803944,49.79423868312757,0.0,0,21.816637066024843,43.0,3.0495049504950495,8,10,1050.0,2382.9166666666674,2142.3333333333335,799.7500000000005
Alb├⌐niz - Piezas caracteristicas Gavotte.csv,500000.0,120.0,2514,47638,0.052772996347453714,0.0,37,47638,1192,0.4741447891805887,0.0007766908770309417,0.0,52.77299634745371,0.0,0,32.96094322857456,43.0,1.9031037093111278,1,5,243.0,1162.9166666666665,1256.9166666666665,631.4333333333334
Alb├⌐niz - Suite Espanola No.5. Asturias.csv,454686.36135989765,131.95909334194485,2615,350644,0.007457706391667903,2217.359364202547,53,693844,325,0.124282982791587,7.638604643118626e-05,0.00487667885522399,3.768858705991548,0.0,1,284.95371437571634,68.0,1.1429195804195804,5,5,14110.0,2543.2333333333336,2416.4333333333334,892.5
Alb├⌐niz - Torre Bermeja Serenata from Piezas caracteristicas.csv,734462.7618081715,81.69236497747849,3420,37798,0.0904809778295148,44992.72326200176,38,64618,1217,0.35584795321637425,0.0005880714352038132,0.061259366167502244,52.92642916834319,0.0,1,18.888385211138058,44.0,1.5862708719851577,3,10,4952.0,984.4,1260.15,559.0833333333333
Alb├⌐niz - Triana.csv,502173.186451544,119.48069235630038,3720,127140,0.0292590844738084,37142.361977185086,65,252887,870,0.23387096774193547,0.00025703179681043313,0.07396325207970667,14.710127448227865,0.0,1,45.35825057338512,72.0,1.3154172560113153,172,7,16499.0,3680.933333333333,3472.011904761906,629.8119047619042
Alb├⌐niz - T├¡tulo Desconocido 2.csv,952380.0,63.000063000063,2726,30510,0.0893477548344805,0.0,35,78615,1775,0.6511371973587674,0.0004452076575717102,0.0,34.675316415442346,0.35013623978201636,1,21.60629194083817,43.0,3.7138964577656677,1,10,528.0,1078.683333333333,1064.833333333333,497.5166666666667
Alb├⌐niz - T├¡tulo Desconocido 3.csv,635946.077970743,94.34762172204219,5640,175680,0.03210382513661202,35879.228503553524,47,175680,3210,0.5691489361702128,0.0002675318761384335,0.056418664642199697,32.10382513661202,0.0,1,74.42322798413717,53.0,3.7877770315648087,11,18,483.0,5060.316508491513,5270.129687632631,3507.518484946425
Alb├⌐niz - T├¡tulo Desconocido 4.csv,521435.9793723108,115.06685839405678,3943,135360,0.029129728132387706,38948.75190374969,59,135360,2104,0.5336038549327923,0.00043587470449172575,0.07469517533223359,29.129728132387704,0.0,0,97.36372955661682,74.0,3.4316797214969537,10,23,1588.0,5317.619860031274,5542.338903995826,2213.8572529777584
Alb├⌐niz - T├¡tulo Desconocido.csv,429131.7893285537,139.81718784776987,6714,212090,0.031656372294780515,31834.528995198347,60,635162,3377,0.5029788501638368,9.446408947638555e-05,0.07418357200944874,10.570531612407542,0.22664255575647982,1,58.82413206198501,68.0,2.023508137432188,199,8,1037.0,2744.066666666665,2714.399999999999,3485.599999999994
Alkan - Chantes Op 38No.1.csv,624433.1117467582,96.08715308539449,2067,91740,0.022531066056245913,164659.91619761765,63,183060,177,0.08563134978229318,0.00034414945919370696,0.2636950429118119,11.291379875450671,0.0,0,32.634860804554506,69.0,1.147695724597446,723,4,16513.0,2383.6666666666665,2316.583333333333,21.750000000000007
Alkan - Etude Op.35 No.5.csv,300098.0151628138,199.93467789997834,3897,251520,0.015493797709923663,948.6250848155698,47,1454177,1601,0.4108288426995124,3.232068723408498e-05,0.0031610508463406767,2.6798663436431744,0.0,3,114.37791076027678,79.0,1.732770120053357,2,8,9312.0,8448.416666666668,8426.083333333332,5660.199999999999
Alkan - Etude Op.39 No.12.csv,952381.0,62.99999685000016,10063,133725,0.07525144886894747,0.0,84,133725,5409,0.5375136639173209,0.000628154795288839,0.0,75.25144886894746,0.0,0,26.04767001389039,84.0,2.392534474560152,1,10,7072.0,9274.644047619044,9626.298809523805,13824.08452380949
Alkan - Etude Op.76 No.2.csv,1165541.3581572073,51.47822475803321,9240,434160,0.021282476506357104,339413.4696187369,78,868294,2539,0.2747835497835498,8.98313244131596e-05,0.2912067145822869,10.641556892020445,0.0,0,85.93276941009657,96.0,1.5706272310045895,1794,5,21018.0,4918.383333333332,5076.149999999999,10586.2
Alkan - Etude Op.76 No.3 for both hands.csv,377118.8332465213,159.10104378366648,6686,406628,0.016442546996271776,53117.91566856573,78,1609208,2772,0.4145976667663775,4.8471049112358376e-05,0.14085193044135966,4.154838902118309,0.0,0,61.65015825325935,77.0,1.974018305284913,26,8,1747.0,196.0,300.6666666666667,17967.666666666664
Alkan - Gros Temps Foul Weather From  Les Mois  Op. 74 Bk. 4 No. 1.csv,481735.6029783647,124.54964845663415,1553,147120,0.010556008700380641,61572.41202682427,57,433320,136,0.0875724404378622,0.00013154250900027694,0.12781370454279992,3.5839564294285977,0.005661712668082095,0,47.70011589279317,76.0,1.0990799716914366,287,3,9925.0,1355.6666666666667,1137.3333333333328,711.6666666666666
Alkan - Hallelujah Psalm 150.csv,476190.0,126.000126000126,2256,16320,0.13823529411764707,0.0,36,92832,1633,0.7238475177304965,0.00038779731127197516,0.0,24.301964839710447,0.7133333333333334,1,23.07422098182216,39.0,7.52,1,22,94.0,285.44444444444446,321.5944444444445,488.2119047619047
Alkan - Saltarelle Op. 23.csv,204077.4252755995,294.00606127293145,4275,519106,0.008235312248365458,5145.511239403105,75,1554950,2018,0.472046783625731,4.823306215633943e-05,0.025213524878875113,2.7492845429113477,0.416044776119403,0,132.89849688213087,79.0,1.993936567164179,168,9,1648.0,9609.033333333335,9342.116666666674,2466.084126984126
Alkan - Un Nuit Dete Suite No. 1 from Les Mois Sequenced.csv,407289.210036557,147.3154665565891,1119,142097,0.00787490235543326,71838.49106649251,50,565996,85,0.07596067917783736,8.833984692471324e-05,0.17638201380302837,1.9770457741750826,0.02131782945736434,0,137.34809866101742,73.0,1.0843023255813953,584,3,11638.0,476.0,500.0,233.33333333333337
Alkan - Valentin Alkan 82Le Festin Desope Op.39.csv,960413.7638412543,62.47307385519449,20124,267120,0.07533692722371968,100967.90134054245,84,801000,14814,0.7361359570661896,0.0001048689138576779,0.10512958595752832,25.123595505617978,0.5827827827827828,0,34.81994111938962,84.0,4.0288288288288285,145,18,3086.0,7299.361904761906,7365.488888888891,13178.676587301541
Ambroise - Dance Fantastique.csv,385519.0781729001,155.63432109341892,3144,113568,0.02768385460693153,13768.537769941804,53,334368,1224,0.3893129770992366,0.0001585079911953297,0.03571428380456648,9.402813666379558,0.21858500527983105,0,57.139638138264424,60.0,1.6599788806758184,64,6,915.0,1976.5333333333335,2036.0833333333333,637.0500000000001
Ambroise - Polonaise 1905.csv,428974.46848507185,139.86846399481692,5390,83040,0.06490847784200385,4167.248251087948,58,248544,3027,0.5615955473098331,0.00023335908330114586,0.009714443532745975,21.68630101712373,0.23668384879725085,1,31.980290537415637,69.0,2.3152920962199315,6,7,454.0,2585.666666666667,2007.2452380952375,2088.0738095238094
Arensky - A fairy tale.csv,441176.0,136.0001450668214,1576,53597,0.02940463085620464,0.0,62,107194,198,0.12563451776649745,0.0005783905815624009,0.0,14.702315428102319,0.032679738562091505,0,58.957196739473794,68.0,1.1445170660856936,1,4,15456.0,2044.0833333333335,2020.9166666666665,317.0
Arensky - Psalm 119.csv,715334.5918724055,83.8768328579617,4328,160581,0.02695213007765551,59979.332913825434,43,779961,325,0.0750924214417745,5.5130961676288945e-05,0.08384794136241627,5.548995398487873,0.021994501374656337,0,80.30336893359244,46.0,1.081729567608098,45,4,15760.0,1416.8333333333335,1291.1666666666667,54.666666666666664
